algorithm,metric,p,width_frac,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std,time_mean,time_std
farthest,minkowski_p1,1,,17.133333333333333,0.8055363982396381,0.19892683348515627,0.03139512483077611,-0.0007288224862439844,0.0009929890473283727,0.0004879474639892578,2.9852925890065777e-05
interval,minkowski_p1,1,0.01,16.0,0.8944271909999159,0.19970484115920853,0.03165063909541041,3.320589684084837e-05,0.001433302979754797,0.006105279922485352,0.0005179451204317099
interval,minkowski_p1,1,0.05,16.666666666666668,1.07496769977314,0.2138322498380939,0.027905044079344098,0.00041150506723661796,0.0012458513906228133,0.0048993905385335285,0.00013196408024594198
interval,minkowski_p1,1,0.1,17.0,0.9660917830792959,0.2080749806629568,0.041401617157254086,-0.0003134684463169351,0.0010910159937434552,0.00415037473042806,0.00014864145631642754
interval,minkowski_p1,1,0.15,17.933333333333334,2.462158041682585,0.20583751012487922,0.03635379745329561,-1.2720035318083973e-05,0.0010484343399601054,0.003142722447713216,0.0003781230859216724
interval,minkowski_p1,1,0.25,17.2,1.0456258094238748,0.21929297358604447,0.031552222168646386,0.00030585540671829577,0.0014865296579877763,0.001885843276977539,0.00017522865280934256
kmeans,minkowski_p1,1,,5.473271558194608,0.07789272843217251,0.31417112374435857,0.0009048689305952598,0.0003868377096363863,9.751843773312481e-05,0.08463425636291504,0.032370168611221904
farthest,minkowski_p2,2,,8.487751426815624,0.3975873697557689,0.2547624498241026,0.035516217405178435,-0.00020513142853807048,0.0014069681017887155,0.0005447069803873698,4.491194053189356e-05
interval,minkowski_p2,2,0.01,7.757286811396794,0.4738157086139696,0.2691064634640314,0.021823366557515676,-0.0004906605761000057,0.0012641252708124704,0.006509113311767578,0.0003297571404112873
interval,minkowski_p2,2,0.05,7.512802407559137,0.473779116931374,0.2686005587356457,0.017427400553490267,-4.127033964564697e-06,0.0010812444176432588,0.00500489870707194,0.0007053728557843113
interval,minkowski_p2,2,0.1,8.662514454824617,0.7921552793621095,0.27158281547422886,0.0336159577921332,-0.0001905194433906638,0.0009918772452471272,0.004114389419555664,0.00015129064427501298
interval,minkowski_p2,2,0.15,8.339155107235108,0.6259596079684122,0.2760510863457985,0.023443343333331715,-0.00021461368601628672,0.0010002357514542473,0.0032559553782145183,0.00013236913816643076
interval,minkowski_p2,2,0.25,8.283885492348949,0.8024386682590081,0.27474959047882697,0.030695899876893216,-5.9273358147241546e-05,0.0010433332344496867,0.0019261837005615234,0.00016129259169704778
kmeans,minkowski_p2,2,,5.439081298375445,0.08073147279564195,0.3145985880250527,0.0009304753827648395,0.0003535521338150424,0.00010141349149203163,0.0656344731648763,0.04398562892297701
farthest,mahalanobis,,,9.038674592341033,0.8769425753350871,0.23250847990422405,0.05391269599761062,-0.00048346021049393013,0.0010149139987930646,0.0005389054616292318,1.5823922499460905e-05
interval,mahalanobis,,0.01,8.59802479067484,1.0680057891264103,0.24497535821228766,0.0449652943646588,-0.000541152635514423,0.000743310685878258,0.005969619750976563,0.00023749641735353714
interval,mahalanobis,,0.05,9.99120583847991,1.8732696619702969,0.20880255135398543,0.06666285978725918,0.0005533248454432317,0.0016197943147922352,0.004678996404012045,0.00020785028284241245
interval,mahalanobis,,0.1,11.016633820223038,1.2781937533558612,0.25405055984720204,0.044112961584806064,0.0005047960499993902,0.0012932878432088677,0.004066832860310872,0.00011779145015168672
interval,mahalanobis,,0.15,11.284101299062785,1.3913031801718456,0.24789090333175962,0.05549453644230095,0.0005920787605929564,0.0012736310769901585,0.00327912966410319,0.00018146058086342497
interval,mahalanobis,,0.25,14.401476576121773,2.0324383780939557,,,0.0,0.0,0.0027702967325846355,0.000535505890280406
kmeans,mahalanobis,,,5.427863505560098,0.0785027504221859,0.3147280633115575,0.0009040329441031384,0.0003397667388436514,9.92676422908486e-05,0.06340239842732748,0.04519088224655993
